Timestamp,ParticipantID,BetweenCondition,GroupType,ConditionOrder,ConditionName,StudyPhase,HMD_X,HMD_Y,HMD_Z,HMD_Roll,HMD_Pitch,HMD_Yaw,LeftController_IsTracked,LeftController_X,LeftController_Y,LeftController_Z,LeftController_Roll,LeftController_Pitch,LeftController_Yaw,RightController_IsTracked,RightController_X,RightController_Y,RightController_Z,RightController_Roll,RightController_Pitch,RightController_Yaw
725.410,31,AR,A,1,Control Condition,Running Visualization,163.854,-111.819,144.750,-1.525,5.557,115.292,1,-40.302,-79.156,105.436,-23.097,-18.798,32.041,1,-48.423,-72.496,111.134,6.850,2.117,16.794
725.905,31,AR,A,1,Control Condition,Running Visualization,163.583,-112.598,144.776,-1.409,5.266,115.986,1,-40.601,-79.024,105.328,-22.931,-18.823,31.903,1,-48.778,-72.435,110.970,6.793,2.144,16.537
726.408,31,AR,A,1,Control Condition,Running Visualization,161.979,-115.265,144.486,-0.757,4.400,127.675,1,-44.521,-74.328,104.904,-22.229,-19.437,41.465,1,-53.190,-69.226,110.697,6.321,2.104,25.947
726.893,31,AR,A,1,Control Condition,Running Visualization,161.526,-118.218,144.953,-0.835,7.059,142.838,1,-50.200,-68.267,105.251,-22.831,-18.570,56.896,1,-58.597,-66.350,110.744,5.133,2.101,37.717
727.407,31,AR,A,1,Control Condition,Running Visualization,164.571,-116.798,145.442,-0.681,10.563,116.510,1,-44.178,-78.084,105.735,-22.916,-18.098,34.721,1,-52.192,-72.759,110.694,6.698,3.095,17.939
727.894,31,AR,A,1,Control Condition,Running Visualization,164.806,-116.906,145.108,-1.007,8.877,118.183,1,-46.449,-77.636,106.063,-20.289,-16.107,39.588,1,-52.356,-72.811,110.119,8.741,2.262,19.457
728.407,31,AR,A,1,Control Condition,Running Visualization,163.755,-117.338,145.278,-1.502,9.639,128.486,1,-48.511,-73.630,106.332,-16.439,-14.907,46.931,1,-55.210,-68.569,110.371,14.324,1.129,32.653
728.907,31,AR,A,1,Control Condition,Running Visualization,165.429,-115.549,145.493,-1.881,11.084,110.363,1,-43.521,-80.683,105.982,-13.734,-16.358,29.274,1,-49.273,-73.468,110.379,12.750,2.086,17.617
729.393,31,AR,A,1,Control Condition,Running Visualization,165.443,-114.664,145.615,-2.547,11.270,106.439,1,-43.421,-81.004,106.310,-6.056,-14.129,26.825,1,-47.953,-74.267,110.271,11.884,1.318,14.734
729.894,31,AR,A,1,Control Condition,Running Visualization,162.779,-115.383,144.786,-0.566,6.373,123.529,1,-45.590,-74.815,105.979,-7.672,-14.099,39.156,1,-51.627,-68.947,110.454,11.996,1.942,27.403
730.394,31,AR,A,1,Control Condition,Running Visualization,159.822,-119.052,143.436,0.532,-0.981,154.118,1,-55.031,-66.164,104.841,-4.133,-12.286,62.796,1,-61.617,-63.003,109.662,10.876,-0.543,51.206
730.894,31,AR,A,1,Control Condition,Running Visualization,159.915,-121.349,143.830,0.252,0.870,154.729,1,-56.250,-66.579,104.207,-7.140,-15.448,62.514,1,-64.128,-62.813,108.982,11.920,-2.862,53.394
731.394,31,AR,A,1,Control Condition,Running Visualization,162.923,-120.088,141.876,-0.941,-8.120,145.937,1,-55.482,-72.698,101.405,-7.790,-19.776,57.653,1,-62.299,-68.185,107.407,12.085,-5.124,46.520
731.894,31,AR,A,1,Control Condition,Running Visualization,175.995,-105.619,137.977,-1.674,-25.411,108.988,1,-41.233,-97.207,98.153,-13.041,-20.169,44.273,1,-45.420,-81.053,108.224,12.577,-2.927,25.864
732.395,31,AR,A,1,Control Condition,Running Visualization,177.969,-103.324,134.827,3.375,-35.652,67.036,1,-48.230,-111.452,90.276,2.397,-43.954,-23.277,1,-39.707,-89.300,104.121,14.126,-10.069,-6.461
732.895,31,AR,A,1,Control Condition,Running Visualization,174.797,-99.193,134.629,4.404,-34.118,72.526,1,-47.658,-106.016,86.100,-6.813,-66.981,5.712,1,-37.303,-86.096,103.393,14.998,-10.394,-2.032
733.396,31,AR,A,1,Control Condition,Running Visualization,181.763,-84.331,137.892,2.259,-24.135,90.397,1,-24.809,-106.860,88.952,-44.041,-57.490,44.711,1,-22.677,-89.440,106.078,14.547,-5.730,13.523
733.894,31,AR,A,1,Control Condition,Running Visualization,180.838,-76.739,142.859,-1.544,-4.105,104.087,1,-1.923,-101.496,100.326,-41.614,-34.330,26.791,1,-14.822,-83.762,111.119,14.821,1.013,26.536
734.394,31,AR,A,1,Control Condition,Running Visualization,184.792,-70.124,145.184,-2.484,11.645,138.653,1,3.963,-93.484,103.923,-47.964,-32.591,63.897,1,-12.733,-82.497,111.244,15.531,0.694,53.584
734.895,31,AR,A,1,Control Condition,Running Visualization,199.810,-57.869,143.457,2.188,-1.891,-179.501,1,4.032,-103.567,98.393,-51.908,-45.177,110.318,1,-10.676,-102.717,107.835,14.765,-6.566,84.890
735.395,31,AR,A,1,Control Condition,Running Visualization,211.281,-56.922,142.701,1.112,-5.316,-174.374,1,2.838,-115.954,96.185,-40.487,-48.078,107.678,1,-13.377,-115.045,105.696,10.867,-9.627,94.992
735.894,31,AR,A,1,Control Condition,Running Visualization,219.357,-44.903,145.292,-1.244,9.231,178.222,1,16.049,-120.542,101.987,-39.639,-38.620,102.354,1,0.413,-119.914,107.875,8.745,-4.375,90.031
736.394,31,AR,A,1,Control Condition,Running Visualization,219.103,-48.441,144.456,-0.574,3.398,177.038,1,13.570,-120.769,101.469,-4.451,-38.341,81.341,1,-2.223,-118.813,108.354,8.866,-4.227,88.604
736.894,31,AR,A,1,Control Condition,Running Visualization,215.292,-46.074,143.997,0.346,1.133,-178.707,1,11.171,-116.248,103.428,-19.468,-20.403,91.968,1,0.041,-116.412,107.683,9.807,-6.495,91.073
