Timestamp,ParticipantID,BetweenCondition,GroupType,ConditionOrder,ConditionName,StudyPhase,HMD_X,HMD_Y,HMD_Z,HMD_Roll,HMD_Pitch,HMD_Yaw,LeftController_IsTracked,LeftController_X,LeftController_Y,LeftController_Z,LeftController_Roll,LeftController_Pitch,LeftController_Yaw,RightController_IsTracked,RightController_X,RightController_Y,RightController_Z,RightController_Roll,RightController_Pitch,RightController_Yaw
448.817,60,VR,A,1,Control Condition,Running Visualization,148.789,-21.333,176.575,1.236,-13.174,121.589,1,52.614,-79.933,131.357,-29.282,-32.232,1.888,1,39.923,-54.099,140.042,15.204,-7.686,29.016
449.314,60,VR,A,1,Control Condition,Running Visualization,148.040,-21.473,175.880,1.079,-16.830,120.027,1,51.798,-78.935,131.545,-28.919,-32.098,2.577,1,39.469,-54.532,139.532,14.872,-8.538,25.254
449.804,60,VR,A,1,Control Condition,Running Visualization,144.841,-21.771,173.393,1.480,-29.601,119.794,1,46.975,-76.392,129.772,-26.884,-36.567,4.121,1,36.728,-59.605,134.013,14.281,-16.305,14.918
450.316,60,VR,A,1,Control Condition,Running Visualization,142.295,-21.294,169.732,3.300,-44.104,104.378,1,40.546,-82.059,128.316,-18.447,-37.172,-24.135,1,32.769,-51.387,129.461,10.909,-24.168,20.110
450.802,60,VR,A,1,Control Condition,Running Visualization,146.461,-21.240,168.278,11.534,-48.486,87.334,1,38.909,-91.632,129.280,-15.287,-32.266,-39.301,1,32.818,-53.383,128.966,10.891,-24.577,18.259
451.316,60,VR,A,1,Control Condition,Running Visualization,155.955,-20.672,169.914,9.653,-41.488,94.413,1,42.408,-92.851,128.645,-18.491,-35.356,-16.680,1,32.589,-63.140,129.291,12.379,-23.402,25.169
451.802,60,VR,A,1,Control Condition,Running Visualization,163.957,-23.063,171.540,10.190,-28.801,115.799,1,44.037,-94.487,129.427,-21.626,-32.535,7.702,1,28.173,-74.448,128.023,12.904,-24.687,35.059
452.301,60,VR,A,1,Control Condition,Running Visualization,166.076,-31.529,170.876,8.152,-35.378,149.982,1,35.601,-91.659,129.342,-29.046,-36.247,28.968,1,23.340,-80.316,128.988,10.793,-23.468,39.728
452.802,60,VR,A,1,Control Condition,Running Visualization,163.790,-42.098,171.088,5.120,-36.662,167.227,1,29.405,-87.738,129.801,-27.718,-35.023,32.160,1,12.532,-77.480,129.561,11.762,-22.325,51.072
453.301,60,VR,A,1,Control Condition,Running Visualization,162.705,-49.042,170.582,4.569,-38.926,175.486,1,24.788,-85.933,129.566,-27.280,-35.410,33.679,1,4.715,-73.868,129.256,13.889,-23.525,59.084
453.802,60,VR,A,1,Control Condition,Running Visualization,165.310,-50.993,170.982,2.618,-38.514,-160.487,1,25.681,-81.548,129.986,-28.533,-33.777,47.920,1,7.517,-76.573,129.381,15.911,-25.865,59.887
