Timestamp,ParticipantID,BetweenCondition,GroupType,ConditionOrder,ConditionName,StudyPhase,HMD_X,HMD_Y,HMD_Z,HMD_Roll,HMD_Pitch,HMD_Yaw,LeftController_IsTracked,LeftController_X,LeftController_Y,LeftController_Z,LeftController_Roll,LeftController_Pitch,LeftController_Yaw,RightController_IsTracked,RightController_X,RightController_Y,RightController_Z,RightController_Roll,RightController_Pitch,RightController_Yaw
449.939,63,AR,B,1,Control Condition,Running Visualization,163.707,-121.849,170.683,-3.467,-3.355,111.599,1,-54.286,-86.338,130.530,-15.837,9.814,29.907,1,-63.308,-75.689,124.085,-14.092,-1.018,11.805
450.422,63,AR,B,1,Control Condition,Running Visualization,163.571,-121.848,170.869,-3.464,-2.726,111.714,1,-54.180,-86.177,130.625,-15.934,9.919,30.035,1,-63.198,-75.520,124.127,-14.907,0.287,12.875
450.923,63,AR,B,1,Control Condition,Running Visualization,163.512,-122.092,170.967,-3.702,-2.177,112.036,1,-54.263,-85.743,130.715,-15.887,9.881,30.713,1,-63.275,-74.715,124.502,-14.121,1.310,15.080
451.422,63,AR,B,1,Control Condition,Running Visualization,161.636,-123.730,170.628,-3.853,-4.348,128.575,1,-54.936,-84.220,130.780,-16.229,10.248,34.082,1,-64.567,-73.285,124.923,-14.851,2.964,19.661
451.923,63,AR,B,1,Control Condition,Running Visualization,159.191,-126.818,169.574,-3.584,-10.239,145.298,1,-57.794,-79.677,130.677,-16.102,10.172,44.558,1,-68.634,-70.424,124.980,-14.313,3.977,29.964
452.422,63,AR,B,1,Control Condition,Running Visualization,158.486,-129.693,169.429,-3.707,-11.043,149.446,1,-61.081,-77.666,130.441,-16.263,9.474,49.912,1,-72.044,-69.837,124.524,-14.167,3.438,33.603
452.924,63,AR,B,1,Control Condition,Running Visualization,157.976,-131.311,169.684,-3.245,-9.040,143.036,1,-63.525,-78.395,129.948,-15.815,8.239,46.847,1,-74.192,-69.982,123.898,-13.560,2.580,31.376
453.422,63,AR,B,1,Control Condition,Running Visualization,158.152,-131.738,169.862,-2.846,-4.609,128.510,1,-64.715,-79.667,129.068,-14.692,6.839,42.361,1,-74.509,-70.952,122.716,-12.319,1.542,25.409
453.922,63,AR,B,1,Control Condition,Running Visualization,160.273,-130.704,170.771,-3.003,-0.680,129.565,1,-63.335,-79.993,129.578,-14.917,7.588,44.169,1,-73.012,-71.642,123.424,-12.919,2.710,27.017
454.422,63,AR,B,1,Control Condition,Running Visualization,161.476,-130.037,170.020,-3.379,-10.194,158.399,1,-61.336,-78.871,130.545,-16.106,9.284,56.787,1,-72.900,-72.506,124.469,-14.226,3.853,39.676
454.922,63,AR,B,1,Control Condition,Running Visualization,163.714,-126.708,168.094,-4.237,-20.487,159.684,1,-60.887,-79.680,129.985,-16.656,8.529,63.347,1,-72.885,-75.281,123.942,-16.877,1.641,43.309
455.424,63,AR,B,1,Control Condition,Running Visualization,165.004,-121.586,166.842,-5.044,-25.907,149.212,1,-57.021,-84.593,129.174,-17.138,6.374,54.904,1,-68.824,-78.702,123.311,-17.581,-1.111,35.023
455.923,63,AR,B,1,Control Condition,Running Visualization,167.259,-115.883,166.598,-4.277,-25.526,138.421,1,-51.380,-89.547,128.686,-17.113,6.351,44.577,1,-62.799,-80.504,123.499,-16.594,0.006,29.973
456.424,63,AR,B,1,Control Condition,Running Visualization,167.928,-109.886,166.029,-3.372,-27.449,128.704,1,-46.842,-91.974,127.994,-16.984,5.275,38.481,1,-56.936,-81.753,123.282,-16.569,-0.530,23.816
456.923,63,AR,B,1,Control Condition,Running Visualization,164.881,-100.017,165.847,-0.652,-26.422,107.030,1,-38.650,-91.878,127.759,-16.618,5.036,23.542,1,-44.970,-79.244,123.797,-16.466,0.385,9.000
457.423,63,AR,B,1,Control Condition,Running Visualization,153.865,-89.754,168.614,-5.529,-15.191,120.761,1,-26.109,-83.347,129.087,-15.812,6.683,19.753,1,-31.289,-70.897,125.406,-16.297,2.572,3.939
457.923,63,AR,B,1,Control Condition,Running Visualization,148.263,-86.127,169.405,-5.948,-11.597,154.111,1,-18.130,-71.926,129.479,-16.377,6.707,42.835,1,-27.003,-63.024,124.655,-15.906,3.151,24.144
458.423,63,AR,B,1,Control Condition,Running Visualization,153.408,-77.507,169.010,-4.659,-13.073,-174.040,1,-10.919,-66.515,129.343,-15.634,6.312,77.520,1,-22.973,-63.801,123.675,-13.063,3.103,60.618
458.925,63,AR,B,1,Control Condition,Running Visualization,160.162,-69.872,168.355,-5.972,-15.233,-150.341,1,-10.730,-66.892,128.562,-17.830,6.954,105.671,1,-23.371,-71.059,122.038,-14.009,-0.038,89.210
459.423,63,AR,B,1,Control Condition,Running Visualization,172.107,-64.250,166.598,-6.098,-16.819,-142.924,1,-6.836,-78.123,127.196,-16.263,6.422,115.094,1,-18.134,-84.545,120.731,-11.853,-1.032,98.385
459.925,63,AR,B,1,Control Condition,Running Visualization,179.302,-54.875,168.262,-5.252,-17.295,-144.034,1,3.265,-84.389,129.442,-16.457,8.537,111.607,1,-8.937,-90.413,123.685,-12.743,0.660,97.555
460.423,63,AR,B,1,Control Condition,Running Visualization,176.508,-39.329,168.304,-2.553,-17.954,-151.754,1,22.174,-81.069,129.453,-11.237,8.572,105.565,1,7.727,-87.010,125.362,-10.175,2.004,96.568
