Timestamp,ParticipantID,BetweenCondition,GroupType,ConditionOrder,ConditionName,StudyPhase,HMD_X,HMD_Y,HMD_Z,HMD_Roll,HMD_Pitch,HMD_Yaw,LeftController_IsTracked,LeftController_X,LeftController_Y,LeftController_Z,LeftController_Roll,LeftController_Pitch,LeftController_Yaw,RightController_IsTracked,RightController_X,RightController_Y,RightController_Z,RightController_Roll,RightController_Pitch,RightController_Yaw
731.640,45,VR,A,1,Control Condition,Running Visualization,84.094,-30.948,150.184,2.164,-10.079,89.671,1,31.836,-19.354,109.091,5.602,-4.205,-13.252,1,35.250,3.703,114.711,-9.911,2.243,3.260
732.125,45,VR,A,1,Control Condition,Running Visualization,83.979,-31.282,149.817,2.680,-11.759,89.722,1,31.353,-19.476,109.149,5.628,-4.077,-13.442,1,34.784,3.948,114.617,-9.236,1.963,4.342
732.624,45,VR,A,1,Control Condition,Running Visualization,83.043,-31.130,147.766,3.494,-22.157,93.389,1,29.856,-18.682,108.654,6.564,-5.520,-10.503,1,31.592,6.834,111.309,-10.680,-4.182,11.315
733.125,45,VR,A,1,Control Condition,Running Visualization,81.201,-32.436,145.999,1.683,-29.752,104.657,1,29.066,-16.554,107.462,7.255,-7.409,-5.304,1,26.339,9.149,105.284,-13.817,-14.734,18.656
733.624,45,VR,A,1,Control Condition,Running Visualization,78.684,-33.999,144.851,-2.105,-33.344,123.679,1,30.072,-15.183,100.520,11.818,-16.758,-0.033,1,22.963,12.000,97.734,-17.513,-24.707,27.256
734.137,45,VR,A,1,Control Condition,Running Visualization,75.739,-34.688,143.527,-4.267,-37.437,139.671,1,31.538,-15.526,95.752,26.408,-17.504,0.715,1,18.721,14.726,91.502,-26.408,-23.069,39.225
734.624,45,VR,A,1,Control Condition,Running Visualization,76.467,-34.432,143.946,-3.383,-36.158,136.283,1,32.381,-17.407,88.155,23.764,-26.875,-3.434,1,19.639,15.226,83.119,-34.261,-31.391,40.923
735.138,45,VR,A,1,Control Condition,Running Visualization,79.924,-32.110,143.900,3.285,-36.749,111.610,1,24.998,-26.364,75.154,43.343,-26.119,-25.108,1,14.629,15.133,69.776,-67.496,-42.884,52.560
735.624,45,VR,A,1,Control Condition,Running Visualization,80.659,-31.564,144.694,0.572,-33.982,109.323,1,19.316,-25.955,70.772,54.392,-31.842,-35.203,1,16.732,15.261,70.480,-67.975,-34.379,50.254
736.124,45,VR,A,1,Control Condition,Running Visualization,79.688,-31.130,144.769,1.386,-33.575,107.773,1,18.025,-20.990,70.180,55.056,-42.074,-22.448,1,15.252,12.527,68.082,-73.026,-53.314,41.844
736.624,45,VR,A,1,Control Condition,Running Visualization,80.731,-29.845,144.127,3.889,-35.758,98.792,1,17.453,-22.193,70.664,54.266,-41.252,-25.609,1,15.029,13.213,68.113,-75.200,-51.351,43.198
