Timestamp,ParticipantID,BetweenCondition,GroupType,ConditionOrder,ConditionName,StudyPhase,HMD_X,HMD_Y,HMD_Z,HMD_Roll,HMD_Pitch,HMD_Yaw,LeftController_IsTracked,LeftController_X,LeftController_Y,LeftController_Z,LeftController_Roll,LeftController_Pitch,LeftController_Yaw,RightController_IsTracked,RightController_X,RightController_Y,RightController_Z,RightController_Roll,RightController_Pitch,RightController_Yaw
445.249,57,VR,B,1,Control Condition,Running Visualization,11.861,27.570,159.896,-3.110,-3.407,45.511,1,69.280,49.244,124.861,-13.066,10.045,-73.378,1,95.646,55.058,125.885,-2.110,-4.812,-30.001
445.744,57,VR,B,1,Control Condition,Running Visualization,12.007,27.719,160.588,-2.984,-0.697,38.667,1,70.702,50.524,124.238,-12.818,9.447,-71.736,1,95.559,55.976,125.220,-1.498,-4.755,-34.862
446.246,57,VR,B,1,Control Condition,Running Visualization,13.594,25.480,158.525,-4.185,-13.697,11.458,1,72.695,53.940,124.487,-11.423,9.504,-68.850,1,92.117,55.246,122.766,-1.423,-7.285,-52.086
446.744,57,VR,B,1,Control Condition,Running Visualization,13.821,24.560,157.688,-1.933,-18.225,-20.078,1,69.340,56.535,124.136,-6.869,5.886,-83.063,1,86.166,51.031,121.967,1.627,-9.335,-78.109
447.244,57,VR,B,1,Control Condition,Running Visualization,13.461,27.769,157.841,-1.426,-17.914,-47.390,1,71.395,57.540,124.633,-5.605,3.159,-93.853,1,83.197,50.711,121.435,0.611,-13.881,-108.957
447.745,57,VR,B,1,Control Condition,Running Visualization,14.569,29.595,156.091,-1.927,-25.823,-50.591,1,73.803,58.750,124.203,-6.451,4.017,-100.449,1,82.518,51.434,119.545,-0.990,-18.465,-119.610
448.245,57,VR,B,1,Control Condition,Running Visualization,11.371,25.392,154.259,3.057,-29.489,-72.526,1,71.577,60.895,124.571,-5.070,4.875,-104.273,1,78.512,53.479,118.026,1.318,-21.377,-127.295
448.746,57,VR,B,1,Control Condition,Running Visualization,8.681,25.460,154.177,2.181,-27.903,-85.471,1,70.121,62.755,124.866,-3.308,6.259,-114.191,1,76.121,53.189,118.441,-0.050,-18.951,-135.223
449.245,57,VR,B,1,Control Condition,Running Visualization,7.903,23.852,156.919,1.352,-18.059,-89.453,1,65.864,63.729,126.190,-6.433,8.225,-120.612,1,75.324,52.052,118.913,-0.647,-18.956,-132.504
449.746,57,VR,B,1,Control Condition,Running Visualization,12.858,26.798,157.829,-1.477,-17.582,-47.635,1,68.857,61.705,124.377,-0.262,3.006,-105.723,1,76.822,53.759,119.342,-1.896,-18.962,-126.042
450.246,57,VR,B,1,Control Condition,Running Visualization,13.619,29.438,157.399,-1.852,-19.029,-34.081,1,69.366,59.623,122.504,8.855,-7.236,-94.489,1,79.336,53.429,119.582,2.947,-21.922,-122.594
450.732,57,VR,B,1,Control Condition,Running Visualization,13.455,31.532,158.373,-2.285,-14.807,-25.965,1,72.491,58.382,122.505,7.645,-6.781,-87.531,1,82.425,52.968,120.028,1.470,-19.622,-114.422
451.247,57,VR,B,1,Control Condition,Running Visualization,11.994,41.124,162.345,-1.884,7.418,29.709,1,72.823,56.409,124.550,-1.988,1.637,-91.187,1,88.410,50.475,120.514,1.038,-17.093,-96.200
451.734,57,VR,B,1,Control Condition,Running Visualization,13.370,35.672,157.241,-1.547,-19.956,-9.440,1,76.150,59.303,124.024,-10.545,4.471,-94.059,1,86.554,54.603,118.713,2.477,-20.400,-103.181
452.233,57,VR,B,1,Control Condition,Running Visualization,13.677,36.914,156.143,-2.375,-21.794,-29.414,1,77.225,61.207,123.990,-3.995,9.815,-101.741,1,86.733,54.335,117.787,0.753,-22.640,-119.342
452.746,57,VR,B,1,Control Condition,Running Visualization,13.646,36.485,155.089,-1.988,-25.359,-33.551,1,81.111,62.495,123.168,-2.880,10.259,-91.709,1,85.470,55.651,116.881,1.356,-24.879,-127.040
453.233,57,VR,B,1,Control Condition,Running Visualization,14.038,36.538,154.920,-1.495,-22.718,-42.279,1,78.697,62.165,122.929,2.296,13.781,-100.898,1,85.870,54.964,116.281,3.641,-24.585,-130.001
453.734,57,VR,B,1,Control Condition,Running Visualization,13.706,37.189,155.150,-0.268,-21.242,-50.165,1,80.040,62.071,122.693,5.583,12.042,-101.877,1,86.019,54.856,116.272,4.180,-23.880,-134.363
454.247,57,VR,B,1,Control Condition,Running Visualization,11.447,35.205,155.752,0.115,-19.313,-59.474,1,79.031,63.104,123.096,5.661,12.234,-103.204,1,84.844,55.651,116.274,4.157,-24.291,-136.122
454.733,57,VR,B,1,Control Condition,Running Visualization,11.055,34.384,155.295,-0.316,-21.753,-57.802,1,78.332,63.854,123.586,3.542,12.578,-104.768,1,84.603,56.246,116.508,3.315,-24.879,-135.402
455.246,57,VR,B,1,Control Condition,Running Visualization,11.625,34.797,154.721,-1.146,-22.633,-53.757,1,81.012,63.572,122.372,0.686,9.852,-101.383,1,85.756,56.102,116.140,3.197,-24.719,-132.090
455.733,57,VR,B,1,Control Condition,Running Visualization,12.554,35.546,154.690,-1.597,-22.163,-50.095,1,81.331,62.153,120.777,-13.513,0.179,-105.960,1,86.349,55.456,116.206,3.420,-23.548,-129.597
456.233,57,VR,B,1,Control Condition,Running Visualization,12.732,36.407,154.629,-1.554,-22.560,-49.313,1,79.921,62.071,121.273,-13.782,1.883,-110.941,1,86.944,55.278,116.286,3.458,-22.736,-129.551
456.745,57,VR,B,1,Control Condition,Running Visualization,11.635,36.433,154.812,-1.817,-22.449,-49.057,1,80.904,63.152,121.619,-13.445,2.741,-109.067,1,86.746,56.023,116.388,3.407,-22.618,-130.111
