Timestamp,ParticipantID,BetweenCondition,GroupType,ConditionOrder,ConditionName,StudyPhase,HMD_X,HMD_Y,HMD_Z,HMD_Roll,HMD_Pitch,HMD_Yaw,LeftController_IsTracked,LeftController_X,LeftController_Y,LeftController_Z,LeftController_Roll,LeftController_Pitch,LeftController_Yaw,RightController_IsTracked,RightController_X,RightController_Y,RightController_Z,RightController_Roll,RightController_Pitch,RightController_Yaw
354.518,59,AR,B,1,Control Condition,Running Visualization,167.185,-114.479,155.475,-1.763,-0.903,114.403,1,-45.579,-90.512,100.116,-45.323,-45.940,33.756,1,-55.820,-77.422,116.378,16.911,0.508,17.565
355.014,59,AR,B,1,Control Condition,Running Visualization,167.728,-114.485,155.522,-1.530,-1.111,115.320,1,-45.903,-90.878,100.085,-45.673,-46.309,34.544,1,-55.884,-77.838,116.651,15.982,1.784,18.370
355.515,59,AR,B,1,Control Condition,Running Visualization,172.589,-113.142,153.405,-0.769,-8.269,135.521,1,-41.487,-92.180,100.790,-41.446,-41.750,34.006,1,-59.786,-76.560,118.270,19.557,9.100,56.969
356.014,59,AR,B,1,Control Condition,Running Visualization,184.467,-108.017,152.722,1.441,-13.192,154.247,1,-35.844,-102.793,98.520,-42.757,-49.794,49.746,1,-60.213,-89.526,115.154,26.468,-1.401,80.611
356.514,59,AR,B,1,Control Condition,Running Visualization,185.828,-109.137,154.102,0.437,-9.567,162.842,1,-37.268,-101.541,100.021,-42.726,-44.785,44.758,1,-60.819,-89.143,115.230,30.911,-9.518,76.811
357.014,59,AR,B,1,Control Condition,Running Visualization,185.730,-111.030,156.180,1.024,5.016,154.517,1,-38.892,-100.368,99.906,-42.054,-45.271,47.765,1,-60.330,-86.863,109.880,48.364,-28.961,59.798
357.502,59,AR,B,1,Control Condition,Running Visualization,186.158,-111.660,156.076,0.614,3.556,151.331,1,-38.630,-101.298,100.945,-37.653,-41.303,39.771,1,-58.765,-88.093,111.840,40.140,-21.638,57.034
358.015,59,AR,B,1,Control Condition,Running Visualization,187.280,-110.563,155.870,0.007,2.233,148.805,1,-37.364,-103.256,100.281,-40.521,-44.211,40.018,1,-56.943,-89.560,112.882,37.314,-18.744,55.342
358.502,59,AR,B,1,Control Condition,Running Visualization,187.955,-109.494,155.381,0.299,-0.780,150.527,1,-37.100,-104.635,100.339,-39.599,-43.421,40.190,1,-56.455,-91.241,112.298,38.621,-21.143,55.006
359.014,59,AR,B,1,Control Condition,Running Visualization,187.661,-108.870,154.700,-0.635,-3.359,151.571,1,-37.426,-103.958,100.156,-42.240,-43.691,42.437,1,-56.623,-91.184,112.164,37.702,-21.308,55.486
359.513,59,AR,B,1,Control Condition,Running Visualization,187.215,-109.374,151.888,0.055,-17.077,154.583,1,-37.637,-103.602,100.586,-41.839,-41.910,42.214,1,-58.709,-91.154,111.798,41.584,-22.047,60.769
360.014,59,AR,B,1,Control Condition,Running Visualization,187.001,-109.792,150.983,-0.911,-20.112,160.507,1,-38.727,-102.525,100.263,-42.483,-43.013,47.974,1,-62.157,-89.596,110.442,51.062,-28.537,68.685
360.514,59,AR,B,1,Control Condition,Running Visualization,186.730,-109.988,151.052,-0.839,-20.230,162.323,1,-38.933,-102.526,99.729,-43.473,-44.206,49.041,1,-62.246,-89.236,110.357,54.880,-29.459,67.229
361.014,59,AR,B,1,Control Condition,Running Visualization,185.859,-109.658,151.074,-0.642,-20.773,161.689,1,-39.457,-101.659,99.233,-45.896,-47.446,54.399,1,-61.617,-89.057,110.199,52.869,-30.188,66.869
