Timestamp,ParticipantID,BetweenCondition,GroupType,ConditionOrder,ConditionName,StudyPhase,HMD_X,HMD_Y,HMD_Z,HMD_Roll,HMD_Pitch,HMD_Yaw,LeftController_IsTracked,LeftController_X,LeftController_Y,LeftController_Z,LeftController_Roll,LeftController_Pitch,LeftController_Yaw,RightController_IsTracked,RightController_X,RightController_Y,RightController_Z,RightController_Roll,RightController_Pitch,RightController_Yaw
527.973,69,AR,A,1,Control Condition,Running Visualization,155.925,50.993,157.529,-4.962,-9.072,139.883,1,100.433,-63.286,113.799,22.454,-14.427,99.280,1,103.108,-58.536,126.758,-4.673,-3.370,29.404
528.465,69,AR,A,1,Control Condition,Running Visualization,158.800,46.155,157.117,-5.373,-11.618,178.158,1,100.964,-68.489,111.319,18.029,-21.167,98.479,1,95.397,-62.146,123.537,0.325,-4.583,50.998
528.970,69,AR,A,1,Control Condition,Running Visualization,163.234,53.693,154.628,-6.255,-24.716,-152.016,1,102.488,-75.108,108.023,19.046,-25.331,135.197,1,87.739,-77.430,113.936,8.180,-20.766,106.505
529.470,69,AR,A,1,Control Condition,Running Visualization,169.539,50.973,154.743,-5.476,-25.837,-150.225,1,103.479,-71.196,99.933,18.947,-38.337,103.168,1,81.054,-85.577,102.765,-24.570,-27.305,132.616
529.957,69,AR,A,1,Control Condition,Running Visualization,172.386,48.707,153.930,-3.777,-29.344,-148.649,1,117.757,-67.549,89.950,11.120,-66.273,57.738,1,82.156,-95.567,83.345,-67.324,-46.210,154.554
530.471,69,AR,A,1,Control Condition,Running Visualization,169.554,47.736,153.355,-4.318,-30.805,-149.975,1,118.206,-80.877,80.336,79.969,-54.761,53.138,1,86.012,-106.693,75.348,-108.965,-63.059,-145.279
530.957,69,AR,A,1,Control Condition,Running Visualization,168.788,51.877,157.893,-5.109,-9.553,-170.709,1,114.537,-78.867,81.557,74.614,-52.434,75.230,1,85.558,-102.338,75.313,-107.041,-64.374,-153.702
531.456,69,AR,A,1,Control Condition,Running Visualization,168.745,51.080,158.284,-4.067,-7.745,-163.736,1,119.243,-79.801,80.949,69.669,-53.419,54.730,1,81.908,-94.224,77.097,-103.164,-60.808,-171.515
531.956,69,AR,A,1,Control Condition,Running Visualization,169.760,46.254,156.369,-2.452,-17.199,-134.924,1,113.716,-76.442,79.355,71.094,-52.454,74.354,1,83.936,-103.534,75.567,-114.962,-60.065,-144.350
532.468,69,AR,A,1,Control Condition,Running Visualization,170.815,44.780,154.436,-3.957,-24.772,-120.995,1,106.980,-76.093,78.109,72.670,-52.818,98.000,1,85.611,-107.875,75.863,-113.190,-59.059,-130.277
532.969,69,AR,A,1,Control Condition,Running Visualization,171.202,43.989,153.863,-3.405,-27.997,-123.021,1,108.789,-76.475,77.112,75.805,-53.779,91.622,1,86.058,-107.941,75.826,-113.762,-61.155,-130.441
533.456,69,AR,A,1,Control Condition,Running Visualization,171.349,44.500,153.984,-2.514,-27.630,-124.874,1,109.882,-76.503,77.111,75.941,-53.484,90.281,1,85.838,-107.188,75.914,-112.586,-61.265,-132.096
533.956,69,AR,A,1,Control Condition,Running Visualization,171.200,45.078,154.405,-3.007,-26.093,-124.340,1,109.895,-76.289,77.911,75.313,-53.668,89.774,1,85.860,-106.821,75.995,-112.389,-61.294,-132.488
534.457,69,AR,A,1,Control Condition,Running Visualization,172.220,45.223,156.978,-2.168,-13.771,-120.125,1,109.138,-76.426,77.716,76.898,-54.257,95.213,1,87.740,-108.790,75.501,-112.680,-61.658,-127.151
534.958,69,AR,A,1,Control Condition,Running Visualization,169.461,52.752,160.328,-11.310,5.569,-167.184,1,109.935,-76.447,78.114,80.371,-53.793,90.361,1,85.902,-106.132,75.069,-106.515,-61.567,-140.782
535.458,69,AR,A,1,Control Condition,Running Visualization,169.541,53.756,159.299,-12.163,0.652,-174.374,1,116.146,-78.947,77.831,77.401,-52.973,70.620,1,83.142,-98.967,75.340,-97.260,-60.390,-164.815
535.958,69,AR,A,1,Control Condition,Running Visualization,168.977,53.144,157.800,-11.973,-6.998,-171.795,1,116.926,-78.927,78.414,78.317,-52.539,69.701,1,85.105,-100.174,75.859,-100.306,-62.040,-162.026
536.458,69,AR,A,1,Control Condition,Running Visualization,170.189,52.320,156.796,-10.134,-14.525,-164.164,1,116.907,-79.270,78.294,78.806,-52.383,73.967,1,85.220,-102.122,76.657,-100.327,-62.901,-156.845
536.959,69,AR,A,1,Control Condition,Running Visualization,169.810,51.480,155.944,-9.304,-18.994,-159.676,1,115.917,-79.467,77.695,78.029,-51.861,76.260,1,85.038,-102.091,77.245,-98.511,-62.858,-157.038
537.459,69,AR,A,1,Control Condition,Running Visualization,169.120,50.257,156.035,-9.003,-18.759,-154.310,1,114.576,-78.440,77.414,78.512,-52.395,80.086,1,85.133,-102.444,77.651,-97.508,-63.215,-153.820
537.959,69,AR,A,1,Control Condition,Running Visualization,169.637,48.824,155.672,-7.927,-20.563,-144.207,1,110.549,-76.953,77.811,77.156,-52.893,87.327,1,85.218,-104.375,77.877,-97.245,-62.975,-147.915
538.459,69,AR,A,1,Control Condition,Running Visualization,182.047,42.490,152.882,-9.655,-29.251,-63.238,1,111.355,-77.515,77.986,80.328,-62.425,94.986,1,87.788,-110.666,78.535,-90.709,-61.788,-132.547
538.959,69,AR,A,1,Control Condition,Running Visualization,188.068,35.153,150.133,-9.964,-42.308,-63.740,1,108.587,-80.891,76.953,119.544,-50.617,81.857,1,96.909,-123.969,75.690,-117.657,-59.616,-73.285
539.460,69,AR,A,1,Control Condition,Running Visualization,190.835,23.139,147.712,-3.520,-48.746,-85.717,1,90.019,-85.074,74.315,125.997,-48.781,80.718,1,78.241,-132.754,76.908,-85.459,-58.177,-100.978
539.960,69,AR,A,1,Control Condition,Running Visualization,190.308,6.125,151.258,-4.736,-32.004,-92.580,1,66.832,-92.625,72.663,117.572,-55.499,98.644,1,63.250,-136.656,75.535,-97.644,-56.725,-93.505
540.459,69,AR,A,1,Control Condition,Running Visualization,196.706,-0.879,156.253,-4.976,-11.125,-136.485,1,61.449,-99.283,74.069,96.964,-50.351,71.091,1,28.577,-135.751,79.419,-52.963,-45.094,-159.839
540.960,69,AR,A,1,Control Condition,Running Visualization,209.562,-8.326,157.704,-5.917,-5.888,-165.857,1,61.075,-118.807,76.773,92.684,-42.350,55.967,1,19.059,-137.203,77.133,-58.210,-53.297,167.693
541.460,69,AR,A,1,Control Condition,Running Visualization,208.635,-4.760,159.998,-3.973,5.040,-156.880,1,63.592,-116.664,76.121,92.358,-45.262,56.868,1,25.651,-133.410,77.010,-60.077,-53.687,165.097
541.961,69,AR,A,1,Control Condition,Running Visualization,204.327,-0.443,158.974,-0.959,2.619,-136.080,1,67.876,-111.926,74.238,92.138,-48.432,68.637,1,30.596,-132.797,77.740,-64.335,-48.578,177.359
542.461,69,AR,A,1,Control Condition,Running Visualization,201.763,-4.863,159.409,-1.732,1.719,-130.737,1,64.559,-109.075,74.776,93.152,-49.472,62.027,1,26.703,-130.048,78.340,-67.322,-50.962,-176.777
542.960,69,AR,A,1,Control Condition,Running Visualization,201.810,-11.273,161.769,-3.455,17.390,-141.006,1,56.742,-105.290,76.425,88.279,-45.855,59.351,1,18.735,-123.924,78.600,-61.903,-51.278,172.712
543.461,69,AR,A,1,Control Condition,Running Visualization,198.337,-8.538,163.471,-9.034,31.005,-162.630,1,60.949,-104.985,75.361,90.801,-47.465,46.452,1,19.679,-118.857,78.164,-62.604,-52.002,167.575
543.961,69,AR,A,1,Control Condition,Running Visualization,194.568,-6.472,161.566,-9.182,14.059,-169.992,1,61.622,-103.465,74.317,89.975,-47.107,50.782,1,21.240,-114.089,79.287,-59.532,-51.178,160.421
544.456,69,AR,A,1,Control Condition,Running Visualization,195.891,-4.545,158.530,-10.827,-5.120,-176.130,1,63.992,-108.932,72.036,92.447,-48.139,48.187,1,23.758,-118.182,78.359,-64.092,-55.803,163.477
544.967,69,AR,A,1,Control Condition,Running Visualization,195.843,-3.116,156.598,-10.301,-16.764,179.142,1,64.990,-110.962,71.205,91.586,-49.201,44.715,1,24.625,-118.865,78.340,-65.624,-58.255,162.396
545.467,69,AR,A,1,Control Condition,Running Visualization,195.877,-2.760,156.384,-10.100,-17.761,173.855,1,66.089,-111.570,70.284,88.098,-48.358,42.677,1,25.478,-117.214,78.207,-66.019,-59.322,156.663
545.966,69,AR,A,1,Control Condition,Running Visualization,195.558,-2.501,156.418,-9.746,-17.894,167.999,1,69.839,-113.667,69.779,88.568,-49.063,35.969,1,26.250,-114.614,78.265,-65.273,-59.892,150.321
546.468,69,AR,A,1,Control Condition,Running Visualization,195.571,-3.117,156.309,-9.645,-18.117,168.334,1,71.371,-113.641,69.378,88.151,-48.666,37.162,1,26.116,-114.178,79.041,-63.626,-60.629,149.550
546.966,69,AR,A,1,Control Condition,Running Visualization,194.667,-3.046,155.828,-9.748,-20.339,170.127,1,71.014,-113.162,68.829,88.611,-49.435,38.842,1,25.684,-114.911,79.431,-64.877,-60.943,152.489
547.468,69,AR,A,1,Control Condition,Running Visualization,194.818,-3.549,155.726,-9.933,-20.746,173.797,1,70.727,-112.194,68.743,88.149,-49.499,42.686,1,25.138,-116.048,79.549,-64.474,-60.955,154.881
547.967,69,AR,A,1,Control Condition,Running Visualization,194.606,-4.739,155.551,-9.051,-21.881,178.387,1,69.287,-110.820,68.746,89.303,-49.782,44.298,1,25.020,-117.025,79.457,-64.884,-61.354,156.882
